GENE	CDC_B11096	CDC_B11097	CDC_B11098	CDC_B11099	CDC_B11101	CDC_B11102	CDC_B11103	CDC_B11105	CDC_B11112	CDC_B11113	CDC_B11114	CDC_B11115	CDC_B11116	CDC_B11117	CDC_B11118	CDC_B11119	CDC_B11200	CDC_B11201	CDC_B11205	CDC_B11206	CDC_B11207	CDC_B11208	CDC_B11209	CDC_B11210	CDC_B11212	CDC_B11213	CDC_B11214	CDC_B11215	CDC_B11216	CDC_B11217	CDC_B11218	CDC_B11219	CDC_B11220	CDC_B11221	CDC_B11222	CDC_B11223	CDC_B11224	CDC_B11225	CDC_B11226	CDC_B11227	CDC_B11228	CDC_B11229	CDC_B11230	CDC_B11243	CDC_B11244	CDC_B11245	CDC_B11246	CDC_B11247
QG37_04132	98.07	110.11	55.60	70.03	101.80	100.16	90.42	97.89	99.82	93.06	79.40	78.45	84.60	94.36	99.71	104.20	117.15	135.22	107.34	90.74	102.06	104.46	126.66	87.32	109.97	118.24	84.92	120.20	88.52	23.23	68.00	101.56	112.74	89.97	104.65	77.81	96.25	101.61	81.49	104.96	115.07	102.58	84.36	77.49	100.57	93.69	93.74	128.01
QG37_04133	99.08	105.25	51.20	61.60	71.81	91.58	91.58	82.06	100.79	73.97	66.18	72.86	86.79	80.72	92.12	95.79	104.55	113.66	108.35	89.81	94.74	98.54	107.14	94.19	99.06	105.59	70.00	97.20	72.78	21.25	59.85	103.86	103.94	94.73	85.29	80.13	81.50	94.84	74.05	98.17	119.04	92.13	81.78	82.02	96.30	94.15	83.79	114.13
QG37_04134	130.01	126.08	65.43	64.57	88.93	106.51	88.95	114.06	131.67	115.20	82.39	93.84	87.84	87.99	107.12	115.81	151.43	169.44	139.00	114.60	114.55	125.98	142.68	109.31	127.66	134.67	102.26	138.75	100.62	27.05	73.12	128.73	135.47	123.66	122.62	96.66	105.64	113.04	103.38	113.31	150.95	129.38	99.37	70.87	111.54	107.22	86.56	138.15
QG37_04135	114.37	116.27	67.40	62.81	114.01	105.33	97.34	93.81	133.11	103.58	86.00	101.84	90.36	112.71	90.66	111.84	145.17	158.43	139.66	99.71	125.02	112.52	124.85	108.52	124.25	145.62	98.27	122.24	92.47	33.60	71.21	98.21	126.11	117.55	104.64	99.32	87.09	103.29	86.15	123.58	136.62	128.90	89.48	87.61	115.23	115.83	105.84	152.56
QG37_04136	99.45	106.83	46.24	65.12	96.50	88.52	101.78	86.26	112.54	74.96	72.38	83.16	85.54	78.80	90.90	100.28	109.51	119.58	111.58	98.44	94.15	102.64	100.81	92.78	95.36	114.62	77.62	100.60	91.28	26.28	63.65	94.89	115.07	104.94	88.99	81.49	84.22	91.30	73.27	104.78	127.90	100.54	75.24	78.11	93.99	103.96	72.39	117.81
QG37_04137	37.33	85.19	36.44	39.33	64.54	55.06	72.61	65.39	84.30	54.93	48.98	63.32	38.29	63.49	55.71	74.94	90.86	97.67	100.28	62.58	59.49	79.24	74.57	70.24	79.47	80.20	49.18	71.07	47.11	16.77	40.04	75.25	78.79	65.63	58.30	41.40	57.40	66.93	58.12	66.81	76.34	77.33	55.17	74.56	75.36	74.03	54.21	112.41
QG37_04138	104.30	119.93	65.02	53.95	81.62	87.40	98.93	100.92	110.60	93.35	63.41	78.59	84.06	86.84	77.75	105.94	129.52	135.76	102.85	106.36	104.75	101.71	119.26	104.10	103.13	110.81	81.53	109.53	77.11	23.83	63.70	109.45	115.10	98.43	99.03	77.42	92.26	118.13	82.22	106.83	118.64	120.67	69.89	86.45	98.84	91.04	92.83	138.45
QG37_04139	99.45	99.10	65.42	62.90	92.29	96.15	96.18	101.82	119.74	95.50	91.78	96.11	78.93	97.63	93.96	102.71	133.21	141.91	127.74	106.53	111.14	98.08	105.54	90.60	102.92	113.55	91.92	121.84	98.45	25.16	75.18	128.20	113.97	96.50	102.25	97.17	107.89	91.75	60.81	112.27	108.58	108.20	73.63	79.07	86.74	91.74	89.48	122.04
QG37_04140	91.58	97.37	60.37	57.01	80.62	94.47	94.45	89.25	110.68	87.27	83.43	75.30	81.94	87.78	90.49	99.73	119.19	131.50	99.74	96.28	98.61	100.46	107.55	84.05	97.18	105.30	79.94	110.90	84.02	24.72	57.35	97.26	114.92	97.05	95.88	78.44	86.25	94.01	78.61	108.24	128.10	109.88	73.66	85.06	92.19	97.72	85.81	121.19
QG37_04141	100.09	98.26	62.06	60.00	95.94	101.97	103.30	94.96	94.45	88.90	92.41	70.77	81.10	87.60	85.44	109.87	121.27	117.46	114.73	106.71	99.67	105.20	103.33	85.11	108.76	111.62	72.81	108.34	76.70	21.40	59.24	87.59	108.77	100.79	95.35	75.79	81.94	85.84	78.13	91.64	100.92	105.78	70.17	80.28	92.91	92.85	88.61	119.55
